11-30 02:06:11 Bk=604 ckN=3:03-0/3 0940ms:1055ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0a6a V=7-0
11-30 01:36:12 Bk=604 ckN=3:03-0/3 1057ms:1171ms[00-02-1-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0ac0 V=7-0
11-30 01:06:12 Bk=604 ckN=3:03-0/3 0967ms:1085ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
11-30 00:36:12 Bk=604 ckN=3:03-0/3 0976ms:1080ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0a6a V=7-0
11-30 00:06:10 Bk=604 ckN=3:03-0/3 0889ms: 969ms[00-02-1-0] codeN=2:2:0:0-1:0:0:0/5 chkRes=2:Nf:OK:Og:Og:NA checkRes=344_H_426_h_929_H_21_K_604_K_ ck=3897 V=4-1
11-29 23:36:10 Bk=604 ckN=3:03-0/3 1100ms:1229ms[00-02-1-0] codeN=3:2:0:0-0:0:0:0/5 chkRes=2:OK:OK:Og:Og:no checkRes=344_H_426_H_929_H_21_K_604_K_ ck=3897 V=5-0
11-29 23:06:10 Bk=604 ckN=3:03-0/3 0889ms: 905ms[01-02-0-0] codeN=3:2:0:0-0:0:0:0/5 chkRes=2:Nf:OK:Og:Og:NA checkRes=344_H_426_H_929_H_21_K_604_K_ ck=0a6a V=5-0
11-29 22:36:10 Bk=604 ckN=3:03-0/3 1087ms:1151ms[00-03-0-0] codeN=3:2:0:0-0:0:0:0/5 chkRes=2:OK:OK:Og:Og:no checkRes=344_H_426_H_929_H_21_K_604_K_ ck=0a6a V=5-0
11-29 22:06:10 Bk=604 ckN=3:03-0/3 0891ms:1118ms[00-03-0-0] codeN=3:2:0:0-0:0:0:0/5 chkRes=2:OK:OK:Og:Og:no checkRes=344_H_426_H_929_H_21_K_604_K_ ck=3897 V=5-0
11-29 21:36:12 Bk=604 ckN=3:03-0/3 0988ms:1073ms[00-03-0-0] codeN=3:2:0:0-1:0:0:0/6 chkRes=2:OK:OK:No:Og:NA checkRes=344_H_426_H_630_h_929_H_21_K_604_K_ ck=0a6a V=5-1
